bgrp,SUM_HOUSIN,SUM_POP10,under_1,under_1pct,under_13,under_13pc,over_70,over_70pct,NonWhite,NonWt_Pct,PLx2_Pop,PLx2_Pct
420030103001,0.0,2594.0,0,0.0,0,0.0,2,0.0771009996533,1608.0,61.9892058597,0.0,0.0
420030103002,1.0,3336.0,0,0.0,0,0.0,4,0.119903996587,391.0,11.7206235012,693.0,98.5775248933
420030103003,199.0,353.0,5,1.41642999649,22,6.23228979111,35,9.91501045227,127.0,35.9773371105,144.0,76.1904761905
420030103004,188.0,317.0,3,0.946371972561,62,19.5583992004,33,10.4100999832,214.0,67.5078864353,84.0,60.8695652174
420030201001,349.0,1435.0,3,0.209059000015,10,0.696864008904,19,1.32404005527,406.0,28.2926829268,261.0,80.3076923077
420030201002,873.0,936.0,4,0.427350014448,7,0.747862994671,206,22.0084991455,261.0,27.8846153846,279.0,30.0970873786
420030201003,95.0,28.0,0,0.0,0,0.0,2,7.14285993576,6.0,21.4285714286,43.0,100.0
420030201004,563.0,798.0,3,0.37593999505,10,1.25312995911,72,9.02256011963,198.0,24.8120300752,382.0,44.7831184056
420030201005,11.0,9.0,0,0.0,0,0.0,3,33.3333015442,0.0,0.0,0.0,0.0
420030201006,451.0,423.0,3,0.709219992161,20,4.72812986374,10,2.36406993866,116.0,27.4231678487,50.0,19.1570881226
420030203001,473.0,616.0,2,0.324674993753,39,6.33117008209,22,3.57142996788,157.0,25.487012987,140.0,27.7777777778
420030305001,769.0,1403.0,11,0.784034013748,179,12.7583999634,224,15.9658002853,1219.0,86.8852459016,1171.0,73.8335435057
420030305002,501.0,853.0,8,0.937865972519,149,17.4678001404,129,15.1231002808,739.0,86.6354044549,590.0,81.7174515235
420030402001,474.0,834.0,14,1.67866003513,138,16.5468006134,54,6.47482013702,690.0,82.7338129496,513.0,62.7139364303
420030402002,213.0,1770.0,3,0.169492006302,27,1.52541995049,107,6.04519987106,583.0,32.9378531073,658.0,85.2331606218
420030404001,375.0,636.0,0,0.0,1,0.157232999802,96,15.0943002701,311.0,48.8993710692,541.0,80.8669656203
420030404002,1105.0,1852.0,2,0.1079910025,13,0.701943993568,462,24.9459991455,712.0,38.444924406,589.0,44.68892261
420030405001,637.0,1904.0,2,0.105042003095,12,0.63025200367,52,2.73109006882,313.0,16.4390756303,788.0,84.6401718582
420030405002,742.0,1790.0,2,0.111731998622,12,0.670391023159,46,2.5698299408,335.0,18.7150837989,1106.0,78.6069651741
420030406001,1152.0,2392.0,3,0.125418007374,44,1.8394600153,87,3.63712000847,459.0,19.1889632107,1858.0,84.0343735866
420030409001,557.0,1120.0,5,0.446429014206,40,3.57142996788,74,6.60714006424,359.0,32.0535714286,408.0,65.0717703349
420030409002,582.0,1140.0,5,0.438596010208,63,5.52631998062,90,7.89474010468,429.0,37.6315789474,586.0,52.2747546833
420030409003,330.0,709.0,4,0.564175009727,52,7.33427000046,70,9.87306022644,199.0,28.0677009873,472.0,58.4158415842
420030501001,363.0,564.0,8,1.41843998432,71,12.5887002945,86,15.2482004166,547.0,96.9858156028,256.0,38.846737481
420030501002,306.0,416.0,4,0.961538016796,54,12.980799675,40,9.61538982391,397.0,95.4326923077,64.0,46.0431654676
420030501003,451.0,727.0,6,0.825309991837,68,9.35350990295,142,19.5323009491,701.0,96.4236588721,529.0,73.3703190014
420030506001,592.0,925.0,3,0.324324011803,80,8.64865016937,259,28.0,678.0,73.2972972973,185.0,29.0880503145
420030506002,296.0,483.0,3,0.62111800909,78,16.14909935,69,14.2856998444,474.0,98.1366459627,534.0,67.4242424242
420030506003,352.0,649.0,4,0.616333007812,59,9.09090995789,85,13.0971002579,531.0,81.8181818182,337.0,47.6661951909
420030509001,746.0,1202.0,44,3.66056990623,300,24.9584007263,136,11.314499855,1161.0,96.5890183028,474.0,47.975708502
420030510001,533.0,934.0,18,1.92718994617,132,14.1328001022,80,8.56530952454,750.0,80.2997858672,731.0,86.4066193853
420030510002,245.0,1172.0,1,0.0853241980076,39,3.32765007019,43,3.66894006729,473.0,40.3583617747,179.0,67.2932330827
420030511001,731.0,1122.0,49,4.36719989777,329,29.322599411,20,1.78252995014,1119.0,99.7326203209,895.0,90.9552845528
420030603001,635.0,1114.0,11,0.9874330163,136,12.2082996368,65,5.83482980728,402.0,36.0861759425,824.0,62.0015048909
420030603002,751.0,1227.0,13,1.05948996544,106,8.63895988464,148,12.0619001389,305.0,24.8573757131,831.0,70.8439897698
420030605001,506.0,668.0,9,1.34730994701,48,7.18562984467,94,14.0719003677,128.0,19.1616766467,240.0,31.1688311688
420030605002,343.0,606.0,5,0.82508200407,71,11.7161998749,67,11.0560998917,110.0,18.1518151815,177.0,31.4946619217
420030703001,453.0,693.0,2,0.288599997759,16,2.30879998207,15,2.16449999809,119.0,17.1717171717,199.0,28.2269503546
