bgrp,FP1_Land_M,FP1_Land_P,FP02_Land_M,FP02_Land_P,FP1_Imp_M,FP1_Imp_P,FP02_Imp_M,FP02_Imp_P,FP1_Pop_C,FP1_Pop_P,FP02_Pop_C,FP02_Pop_P
420030103001,8686,3.02999997139,29356,10.25,5159,59.3899993896,26450,90.0999984741,0.0,0.0,765.570007324,29.0
420030103002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030103003,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030103004,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030201001,126007,29.3299999237,81391,18.9500007629,81100,64.3600006104,65719,80.7399978638,31.8500003815,2.20000004768,255.929992676,17.6599998474
420030201002,19048,10.279999733,143039,77.1999969482,16263,85.3799972534,126214,88.2399978638,0.0,0.0,828.25,97.0100021362
420030201003,0,0.0,5884,3.55999994278,-99999,-99999.0,5789,98.3899993896,-99999.0,-99999.0,7.38000011444,10.4099998474
420030201004,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030201005,5276,1.29999995232,10617,2.61999988556,3886,73.6500015259,10391,97.8700027466,0.170000001788,0.300000011921,0.0,0.0
420030201006,38037,17.9400005341,70955,33.4700012207,37537,98.6900024414,69388,97.7900009155,0.0,0.0,109.370002747,27.3500003815
420030203001,252221,15.6899995804,516123,32.1100006104,226254,89.6999969482,491822,95.2900009155,345.119995117,56.0900001526,111.260002136,18.0799999237
420030305001,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030305002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030402001,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030402002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030404001,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030404002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030405001,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030405002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030406001,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
420030409001,0,0.0,206,0.0500000007451,-99999,-99999.0,181,87.8600006104,-99999.0,-99999.0,0.0,0.0
