,Block_Group,NO2_Hospital_Admissions_V,NO2_Asthma_Exacerbation_I,NO2_Asthma_Exacerbation_V,O3_Acute_Respiratory_Symptoms_I,O3_Mortality_V,O3_School_Loss_Days_I,O3_School_Loss_Days_V,PM25_Acute_Respiratory_Symptoms_I,PM25_Mortality_V,PM25_Work_Loss_Days_I,PM25_Work_Loss_Days_V,SO2_Asthma_Exacerbation_I,SO2_Asthma_Exacerbation_V,SO2_Hospital_Admissions_V,bgrp,SUM_HOUSIN,SUM_POP10,under_1,under_1pct,under_13,under_13pc,over_70,over_70pct,NonWhite,NonWt_Pct,PLx2_Pop,PLx2_Pct
0,420030103001,118.579620135,0.499370020712,43.5901590748,1.70310635924,6697.14790664,0.0341705332628,3.35521089465,1.60178771718,19253.3537001,0.26941286437,45.2589850616,0.0138698593334,1.09500077379,40.4555766841,420030103001,0.0,2594.0,0,0.0,0,0.0,2,0.0771009996533,1608.0,61.9892058597,0.0,0.0
1,420030103002,62.6359002184,0.263776277524,23.0251104802,0.899611584664,3537.55466201,0.0180494937446,1.77228308347,0.84609324528,10169.9696782,0.142308748089,23.9066145521,0.00732631057733,0.578399215043,21.3693673633,420030103002,1.0,3336.0,0,0.0,0,0.0,4,0.119903996587,391.0,11.7206235012,693.0,98.5775248933
2,420030103003,2.02851671594,0.00854261831251,0.74568771795,0.0291346836396,114.566706001,0.000584548152856,0.0573968897654,0.0274014468589,329.363087638,0.00460878942134,0.77423597444,0.000237268777498,0.0187319488043,0.692065073774,420030103003,199.0,353.0,5,1.41642999649,22,6.23228979111,35,9.91501045227,127.0,35.9773371105,144.0,76.1904761905
3,420030103004,3.50591337667,0.0140017842888,1.22227430572,0.0600220148859,237.632763862,0.00120504982952,0.118324062594,0.0544335531225,654.286732371,0.00915545755991,1.53803612127,0.00047133943951,0.037211412068,1.37480189099,420030103004,188.0,317.0,3,0.946371972561,62,19.5583992004,33,10.4100999832,214.0,67.5078864353,84.0,60.8695652174
4,420030201001,27.7767798727,0.0668404800135,5.82926548379,0.31175012947,1372.08260358,0.00554204379597,0.544174291336,0.292022243711,6266.21158786,0.0491167139655,8.25117474933,0.00202659667484,0.159996209662,9.24472316545,420030201001,349.0,1435.0,3,0.209059000015,10,0.696864008904,19,1.32404005527,406.0,28.2926829268,261.0,80.3076923077
5,420030201002,20.1548767686,0.0484995612883,4.22972454028,0.226206402285,995.585374487,0.00402131601525,0.394853753128,0.21189181621,4546.77334588,0.0356391677434,5.98706585254,0.00147050185185,0.116093510622,6.70798620336,420030201002,873.0,936.0,4,0.427350014448,7,0.747862994671,206,22.0084991455,261.0,27.8846153846,279.0,30.0970873786
6,420030201003,0.0419789182626,0.000101015706643,0.0088097418202,0.000471146521063,2.07362205876,8.37566501894e-06,0.000822408076145,0.000441331859048,9.47009643553,7.42298614286e-05,0.0124699620316,3.06278613123e-06,0.000241801527697,0.013971507133,420030201003,95.0,28.0,0,0.0,0,0.0,2,7.14285993576,6.0,21.4285714286,43.0,100.0
7,420030201004,13.5821669435,0.0326833155144,2.85036434536,0.152438239703,670.915057374,0.0027099247787,0.26608800838,0.142791782833,3064.02523612,0.0240168798955,4.03462399971,0.000990956423924,0.0782342506081,4.52044496668,420030201004,563.0,798.0,3,0.37593999505,10,1.25312995911,72,9.02256011963,198.0,24.8120300752,382.0,44.7831184056
8,420030201005,0.118572783755,0.000285326466609,0.0248837786011,0.00133079106651,5.85711148646,2.36577363622e-05,0.00232295744918,0.00124657716683,26.7490455134,0.000209668186098,0.0352224060446,8.65108360494e-06,0.000682987693949,0.0394636397667,420030201005,11.0,9.0,0,0.0,0,0.0,3,33.3333015442,0.0,0.0,0.0,0.0
9,420030201006,2.77027961894,0.00666624498413,0.581373918689,0.0310919780417,136.84280502,0.000552728251641,0.0542724878603,0.0291244440046,624.952148139,0.00489858911909,0.822919767704,0.000202119881781,0.0159570058432,0.922009976871,420030201006,451.0,423.0,3,0.709219992161,20,4.72812986374,10,2.36406993866,116.0,27.4231678487,50.0,19.1570881226
10,420030203001,17.5895367605,0.0664485908207,5.51818272976,0.254556714567,1145.10530386,0.0234156794542,2.29918983726,0.230646702372,7292.79354641,0.0387936479205,6.51699070059,0.0133564899689,1.05447117375,7.04789048706,420030203001,473.0,616.0,2,0.324674993753,39,6.33117008209,22,3.57142996788,157.0,25.487012987,140.0,27.7777777778
11,420030305001,90.4142666764,0.811273992319,68.0345762346,0.660138274367,4265.08500583,0.239710123097,23.5371807162,0.620346876814,22897.9522775,0.104339312378,17.5280842334,0.112501527921,8.88179592627,31.4176928325,420030305001,769.0,1403.0,11,0.784034013748,179,12.7583999634,224,15.9658002853,1219.0,86.8852459016,1171.0,73.8335435057
12,420030305002,80.7594441329,0.705519171326,59.1623169588,0.725697053782,4720.58439976,0.263688549229,25.8916267527,0.657579054291,24272.2489089,0.110601582636,18.5800904051,0.119253680644,9.41486639798,33.3033299803,420030305002,501.0,853.0,8,0.937865972519,149,17.4678001404,129,15.1231002808,739.0,86.6354044549,590.0,81.7174515235
13,420030402001,115.843144231,0.93441220033,80.3819468034,1.62416129086,7476.52712455,0.185564750052,18.2206366596,1.48206170408,19603.0591343,0.249275534197,41.8760911986,0.07818708524,6.1727315887,46.4331345317,420030402001,474.0,834.0,14,1.67866003513,138,16.5468006134,54,6.47482013702,690.0,82.7338129496,513.0,62.7139364303
14,420030402002,54.5228280651,0.439791202827,37.83263217,0.764429068287,3518.9083104,0.0873380555164,8.57573960399,0.69754836171,9226.39168532,0.117324224771,19.7094349918,0.0367995968494,2.90526284777,21.8542566969,420030402002,213.0,1770.0,3,0.169492006302,27,1.52541995049,107,6.04519987106,583.0,32.9378531073,658.0,85.2331606218
15,420030404001,21.7680069261,0.0190682373711,1.65068084517,0.223863356249,1150.79700455,0.00273325085404,0.268378399977,0.204653932782,4008.48029614,0.0344217911301,5.78255731846,0.00118784640632,0.0937783349062,8.38478473904,420030404001,375.0,636.0,0,0.0,1,0.157232999802,96,15.0943002701,311.0,48.8993710692,541.0,80.8669656203
16,420030404002,55.5402726171,0.048651909452,4.21165173531,0.571179156513,2936.21641965,0.00697378947366,0.684757660628,0.522167015907,10227.4907015,0.087825939684,14.7539832646,0.00303074661166,0.239271987736,21.3934712453,420030404002,1105.0,1852.0,2,0.1079910025,13,0.701943993568,462,24.9459991455,712.0,38.444924406,589.0,44.68892261
17,420030405001,77.1256358978,0.104760615372,9.12637929153,1.28101984969,5108.36537948,0.0114344166181,1.12274745368,1.17363417924,5487.91469904,0.197399532136,33.1613803855,0.00425944964335,0.336275988333,30.106869415,420030405001,637.0,1904.0,2,0.105042003095,12,0.63025200367,52,2.73109006882,313.0,16.4390756303,788.0,84.6401718582
18,420030405002,35.4305328701,0.0481256897687,4.19254217757,0.588484170837,2346.71786343,0.00525282507069,0.51577585195,0.539152564268,2521.07797711,0.0906828258916,15.2339149504,0.00195673680795,0.154480897556,13.8307115916,420030405002,742.0,1790.0,2,0.111731998622,12,0.670391023159,46,2.5698299408,335.0,18.7150837989,1106.0,78.6069651741
19,420030406001,146.629196802,0.161579467107,13.5858692802,2.35429752817,9649.26645725,0.0555767619709,5.45709239663,2.15940974106,15261.8829405,0.36320216309,61.0147600488,0.0258787162982,2.04307871407,57.6032814664,420030406001,1152.0,2392.0,3,0.125418007374,44,1.8394600153,87,3.63712000847,459.0,19.1889632107,1858.0,84.0343735866
20,420030409001,60.5452262983,0.198744925095,16.6498710183,0.811969206018,3771.93172355,0.0750130728278,7.36554730538,0.745494843456,14046.0942551,0.125388588634,21.0641769953,0.0342304431258,2.70243272184,24.0777516226,420030409001,557.0,1120.0,5,0.446429014206,40,3.57142996788,74,6.60714006424,359.0,32.0535714286,408.0,65.0717703349
21,420030409002,96.1839855641,0.315732224901,26.4504908409,1.28991894432,5992.20530879,0.119168046023,11.7011321785,1.18431575279,22314.0519851,0.199196120594,33.4631914009,0.0543795217024,4.29316670854,38.2506475916,420030409002,582.0,1140.0,5,0.438596010208,63,5.52631998062,90,7.89474010468,429.0,37.6315789474,586.0,52.2747546833
22,420030409003,70.912618695,0.232776784439,19.5008925893,0.951005821909,4417.81412688,0.0878578503344,8.62677835199,0.8731487981,16451.261098,0.146859359824,24.6710771883,0.0400918538016,3.16518069002,28.2006778113,420030409003,330.0,709.0,4,0.564175009727,52,7.33427000046,70,9.87306022644,199.0,28.0677009873,472.0,58.4158415842
23,420030501001,53.3858568384,0.396810257662,33.3894340272,0.489153663131,3060.50404712,0.158088226441,15.5227117939,0.444069377021,17568.2110339,0.0746902985704,12.5473114105,0.0625702575054,4.9398107607,21.7194143603,420030501001,363.0,564.0,8,1.41843998432,71,12.5887002945,86,15.2482004166,547.0,96.9858156028,256.0,38.846737481
24,420030501002,38.1110485255,0.283274557735,23.8360197964,0.349196586812,2184.82993736,0.112855884049,11.0813398428,0.317011856297,12541.5790411,0.0533198446513,8.95726363402,0.0446676003957,3.52642776115,15.5050364207,420030501002,306.0,416.0,4,0.961538016796,54,12.980799675,40,9.61538982391,397.0,95.4326923077,64.0,46.0431654676
25,420030501003,36.3090575711,0.269880589046,22.708989874,0.332685650612,2081.52541187,0.10751976001,10.5573848499,0.302022699094,11948.5800852,0.050798741678,8.53374056999,0.0425555983653,3.3596889499,14.7719173789,420030501003,451.0,727.0,6,0.825309991837,68,9.35350990295,142,19.5323009491,701.0,96.4236588721,529.0,73.3703190014
26,420030506001,122.409926844,0.899303131484,75.805691648,1.03306355675,6780.80966788,0.368113096065,36.1450920564,0.941158449002,38129.4631907,0.158298250669,26.5927099622,0.136518894712,10.7779209174,49.5178294845,420030506001,592.0,925.0,3,0.324324011803,80,8.64865016937,259,28.0,678.0,73.2972972973,185.0,29.0880503145
27,420030506002,44.8629034532,0.329592138505,27.782578695,0.378614968592,2485.14820086,0.134912443086,13.2470773984,0.34493199792,13974.3439927,0.0580158759967,9.74615548224,0.050033801595,3.95007854353,18.1481490974,420030506002,296.0,483.0,3,0.62111800909,78,16.14909935,69,14.2856998444,474.0,98.1366459627,534.0,67.4242424242
28,420030506003,78.8714677203,0.579441224533,48.8433112899,0.665626073554,4369.02810602,0.237183543216,23.2890953771,0.606409546544,24567.6703088,0.101995121553,17.13428085,0.0879621928961,6.94445674173,31.9054507298,420030506003,352.0,649.0,4,0.616333007812,59,9.09090995789,85,13.0971002579,531.0,81.8181818182,337.0,47.6661951909
29,420030509001,147.175898859,1.59018514599,132.614308321,1.38955765024,9549.62725986,0.559792474465,54.9661251891,1.26250838488,39602.674241,0.212347739101,35.6725473161,0.297648984783,23.4988589877,63.9538928867,420030509001,746.0,1202.0,44,3.66056990623,300,24.9584007263,136,11.314499855,1161.0,96.5890183028,474.0,47.975708502
30,420030510001,70.1016827975,0.661718402494,56.8615269043,0.939419441786,4519.21999712,0.142752556001,14.0168995157,0.855477334646,12665.7314633,0.14388710605,24.1717647689,0.0578181261811,4.56463842823,28.3440778459,420030510001,533.0,934.0,18,1.92718994617,132,14.1328001022,80,8.56530952454,750.0,80.2997858672,731.0,86.4066193853
31,420030510002,67.6786569217,0.638846472068,54.8961396906,0.906948928599,4363.01565859,0.137818392894,13.5324131401,0.825908233944,12227.9474637,0.138913727848,23.3362810949,0.0558196746428,4.40686422675,27.3643804791,420030510002,245.0,1172.0,1,0.0853241980076,39,3.32765007019,43,3.66894006729,473.0,40.3583617747,179.0,67.2932330827
32,420030511001,109.695200099,2.02183209193,169.117859734,1.30109601732,8473.40874392,0.734267531834,72.0978629011,1.18249941236,27858.1936814,0.198890621013,33.4118701658,0.358514417232,28.3040768364,50.5106734971,420030511001,731.0,1122.0,49,4.36719989777,329,29.322599411,20,1.78252995014,1119.0,99.7326203209,895.0,90.9552845528
33,420030603001,61.2154290726,0.427949745886,35.9484275143,0.719971324306,3816.40951306,0.170127931319,16.7048926122,0.653038255384,21652.185505,0.109837842455,18.4517887908,0.0698905202233,5.51773072463,24.9740603061,420030603001,635.0,1114.0,11,0.9874330163,136,12.2082996368,65,5.83482980728,402.0,36.0861759425,824.0,62.0015048909
34,420030603002,33.5518073436,0.23455667377,19.7031162329,0.394611939048,2091.75102856,0.0932460927229,9.15585085508,0.3579263278,11867.4322411,0.0602014587651,10.1133141111,0.0383065724639,3.02423492004,13.6881317778,420030603002,751.0,1227.0,13,1.05948996544,106,8.63895988464,148,12.0619001389,305.0,24.8573757131,831.0,70.8439897698
35,420030605001,52.0370282487,0.251982659264,20.9858545243,0.585429612264,3113.18194759,0.0961890665875,9.44482199572,0.531905403505,18984.6588954,0.089463888876,15.0291442825,0.0482823600418,3.81180538661,20.9660313466,420030605001,506.0,668.0,9,1.34730994701,48,7.18562984467,94,14.0719003677,128.0,19.1616766467,240.0,31.1688311688
36,420030605002,68.4069741361,0.331252030239,27.5876401091,0.76959560706,4092.53495323,0.126448477395,12.4159990631,0.699233611238,24956.9030697,0.117607675504,19.757052215,0.0634711524806,5.01093320025,27.5615809037,420030605002,343.0,606.0,5,0.82508200407,71,11.7161998749,67,11.0560998917,110.0,18.1518151815,177.0,31.4946619217
37,420030703001,37.6345325443,0.092307468289,7.70385841402,0.461648247809,2244.58915452,0.0350036605031,3.43701581041,0.424571700311,12276.4661976,0.071410884654,11.9963987961,0.0170482906599,1.34593177419,14.9144836562,420030703001,453.0,693.0,2,0.288599997759,16,2.30879998207,15,2.16449999809,119.0,17.1717171717,199.0,28.2269503546
38,420030703002,45.2293506608,0.110935531003,9.25853172852,0.554810942783,2697.55735214,0.0420675567962,4.13062107608,0.510252181064,14753.9123509,0.0858219227039,14.4173260868,0.0204887124748,1.61754686627,17.9242936104,420030703002,448.0,778.0,3,0.385603994131,31,3.98458003998,157,20.1798992157,232.0,29.8200514139,175.0,27.9106858054
39,420030703003,83.0150863778,0.203613860337,16.9933417116,1.0183139414,4951.16452758,0.0772118504935,7.5814456855,0.936529670814,27079.7013516,0.157519712803,26.4619224674,0.0376054975589,2.96888615161,32.8986987561,420030703003,393.0,726.0,7,0.964187026024,72,9.91736030579,85,11.7080001831,128.0,17.6308539945,144.0,20.6599713056
40,420030705001,87.8062679529,0.15860432301,13.149628766,1.36821424733,5791.84053937,0.0578140151255,5.67676869202,1.2589061872,32335.49843,0.211741867059,35.5707661568,0.0327293024271,2.58391934784,34.8424934573,420030705001,776.0,1257.0,10,0.795544981956,71,5.64836978912,46,3.65950989723,324.0,25.7756563246,367.0,28.7392325764
41,420030705002,40.1544118424,0.0725308506396,6.01341591387,0.625693810438,2648.64861889,0.0264387477994,2.59602546957,0.575706480759,14787.246416,0.0968310159672,16.2667566577,0.0149673356995,1.18164413634,15.9337125301,420030705002,485.0,724.0,2,0.276243001223,21,2.90054988861,14,1.93369996548,137.0,18.9226519337,373.0,55.8383233533
42,420030705003,31.9965002374,0.0577952278026,4.79170917684,0.498575654222,2110.53984543,0.0210673587639,2.06860780029,0.458743926336,11783.0174008,0.0771584860349,12.9619451357,0.0119265191118,0.941577155641,12.696563425,420030705003,718.0,1016.0,1,0.0984252020717,30,2.95275998116,48,4.72441005707,310.0,30.5118110236,360.0,28.7539936102
